id,name,team,height,weight,year,position,hometown,state,country,latitude,longitude,formatted_height
4917858,Cole Cabana,Michigan,72.0,204.0,2.0,RB,Dexter,MI,USA,42.3372998,-83.8842,"6'0"""
4918431,Breeon Ishmail,Michigan,75.0,260.0,2.0,DE,Hamilton,OH,USA,39.2085354,-84.5501874,"6'3"""
4918449,Jyaire Hill,Michigan,74.0,185.0,2.0,DB,Kankakee,IL,USA,41.1253903,-87.848682,"6'2"""
4921240,Brooks Bahr,Michigan,77.0,319.0,2.0,DL,Lake Forest,IL,USA,42.2586461,-87.8407055,"6'5"""
4923036,Cameron Brandt,Michigan,76.0,265.0,2.0,DE,Chatsworth,CA,USA,34.2572499,-118.6017022,"6'4"""
4923052,Cameron Calhoun,Michigan,72.0,177.0,1.0,CB,Cincinnati,OH,USA,39.1014537,-84.5124602,"6'0"""
5008017,Benjamin Hall,Michigan,71.0,235.0,2.0,RB,Acworth,GA,USA,34.0659329,-84.6768796,"5'11"""
5077503,Hayden Moore,Michigan,74.0,222.0,1.0,LB,Parker,CO,USA,39.5184514,-104.7612638,"6'2"""
5080968,Aymeric Koumba,Michigan,77.0,260.0,2.0,DE,Bordeaux,,France,44.841225,-0.5800364,"6'5"""
5085243,Hudson Hollenbeck,Michigan,74.0,206.0,3.0,PK,Collierville,TN,USA,35.042036,-89.6645266,"6'2"""
5086014,Joshua Nichols,Michigan,70.0,205.0,3.0,DB,Detroit,MI,USA,42.3315509,-83.0466403,"5'10"""
5086016,Nico Andrighetto,Michigan,69.0,190.0,3.0,DB,Mountain View,CA,USA,37.3893889,-122.0832101,"5'9"""
5086017,Logan Forbes,Michigan,74.0,195.0,3.0,WR,Clarkston,MI,USA,42.735863,-83.4188304,"6'2"""
5086018,Bryce Wilcox,Michigan,71.0,191.0,3.0,DB,Sharpsburg,GA,USA,33.3392842,-84.6485417,"5'11"""
5086019,Joel Metzger,Michigan,73.0,230.0,4.0,LB,Battle Creek,MI,USA,42.3192548,-85.1824269,"6'1"""
5086021,Henry Donohue,Michigan,71.0,215.0,4.0,RB,Bronxville,NY,USA,40.9381544,-73.8320784,"5'11"""
5086022,James Kavouklis,Michigan,73.0,284.0,3.0,OL,Tampa,FL,USA,27.9477595,-82.458444,"6'1"""
5086026,Chibi Anwunah,Michigan,77.0,278.0,3.0,DE,Canton,MI,USA,32.612602,-90.0367512,"6'5"""
5088628,Zack Marshall,Michigan,76.0,235.0,2.0,TE,Solana Beach,CA,USA,32.9905597,-117.269131,"6'4"""
5091783,Jason Hewlett,Michigan,74.0,227.0,2.0,LB,Youngstown,OH,USA,41.1035786,-80.6520161,"6'2"""
5092246,Cordell Jones-McNally,Michigan,68.0,175.0,1.0,PK,Marcellus,MI,USA,42.0258779,-85.8155576,"5'8"""
5092262,DJ Waller Jr.,Michigan,75.0,202.0,2.0,DB,Youngstown,OH,USA,41.1035786,-80.6520161,"6'3"""
5103804,Brandyn Hillman,Michigan,72.0,200.0,2.0,DB,Portsmouth,VA,USA,36.8320081,-76.297699,"6'0"""
5108220,Kendrick Bell,Michigan,74.0,191.0,2.0,WR,Kansas City,MO,USA,39.100105,-94.5781416,"6'2"""
5156342,Jack Grusser,Michigan,72.0,175.0,1.0,QB,Franklin Lakes,NJ,USA,41.0167639,-74.2057012,"6'0"""
